<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;13.05.2021;0;6100.0000000;6127.0000000;5999.5000000;6040.0000000;1173785
LKOH;14.05.2021;0;6052.5000000;6077.0000000;6002.0000000;6050.0000000;505834
LKOH;17.05.2021;0;6018.0000000;6026.0000000;5868.5000000;5976.0000000;1720346
LKOH;18.05.2021;0;6000.0000000;6043.0000000;5962.5000000;5994.0000000;1804042
LKOH;19.05.2021;0;5974.5000000;5978.0000000;5767.5000000;5862.5000000;1733021
LKOH;20.05.2021;0;5852.0000000;5863.5000000;5681.0000000;5711.0000000;1350464
LKOH;21.05.2021;0;5714.0000000;5852.0000000;5697.0000000;5800.5000000;1122864
LKOH;24.05.2021;0;5831.5000000;5859.5000000;5774.0000000;5818.0000000;571607
LKOH;25.05.2021;0;5835.0000000;5975.5000000;5823.0000000;5913.0000000;1085314
LKOH;26.05.2021;0;5923.0000000;6019.5000000;5918.0000000;6016.5000000;1172616
LKOH;27.05.2021;0;5999.0000000;6012.0000000;5915.0000000;5992.0000000;1612125
LKOH;28.05.2021;0;6013.0000000;6030.0000000;5936.0000000;5955.0000000;733108
LKOH;31.05.2021;0;5957.0000000;6010.5000000;5951.0000000;5993.0000000;392489
LKOH;01.06.2021;0;6023.5000000;6223.0000000;6017.0000000;6210.0000000;2080801
LKOH;02.06.2021;0;6222.0000000;6430.0000000;6215.0000000;6428.0000000;2238487
LKOH;03.06.2021;0;6460.0000000;6499.0000000;6327.0000000;6474.5000000;1951973
LKOH;04.06.2021;0;6472.0000000;6570.0000000;6442.0000000;6511.0000000;1522097
LKOH;07.06.2021;0;6488.0000000;6590.0000000;6460.0000000;6555.0000000;918412
LKOH;08.06.2021;0;6533.0000000;6564.5000000;6400.0000000;6504.5000000;1369216
LKOH;09.06.2021;0;6525.0000000;6595.5000000;6487.0000000;6587.0000000;942484
LKOH;10.06.2021;0;6575.5000000;6660.5000000;6548.0000000;6570.0000000;1088247
LKOH;11.06.2021;0;6570.0000000;6607.5000000;6488.0000000;6518.5000000;577405
LKOH;14.06.2021;0;6530.0000000;6547.5000000;6447.0000000;6515.0000000;580500
LKOH;15.06.2021;0;6522.0000000;6527.5000000;6431.0000000;6504.5000000;827007
LKOH;16.06.2021;0;6523.5000000;6637.5000000;6522.5000000;6591.5000000;1179384
LKOH;17.06.2021;0;6563.0000000;6746.0000000;6560.5000000;6669.5000000;1678291
LKOH;18.06.2021;0;6644.0000000;6710.0000000;6606.0000000;6653.0000000;1861951
LKOH;21.06.2021;0;6645.0000000;6700.0000000;6603.0000000;6697.0000000;685596
LKOH;22.06.2021;0;6732.0000000;6769.0000000;6663.0000000;6715.5000000;1070707
LKOH;23.06.2021;0;6734.5000000;6741.5000000;6621.0000000;6633.0000000;1062120
LKOH;24.06.2021;0;6632.5000000;6759.0000000;6620.0000000;6725.0000000;1483543
LKOH;25.06.2021;0;6720.0000000;6813.0000000;6710.5000000;6810.0000000;876091
LKOH;28.06.2021;0;6810.5000000;6867.0000000;6744.0000000;6759.0000000;804732
LKOH;29.06.2021;0;6730.5000000;6749.0000000;6642.5000000;6685.0000000;1283942
LKOH;30.06.2021;0;6692.5000000;6804.5000000;6617.0000000;6762.5000000;1143707
LKOH;01.07.2021;0;6770.0000000;7013.0000000;6762.0000000;7010.0000000;1490298
LKOH;02.07.2021;0;6825.5000000;6920.0000000;6810.5000000;6849.0000000;992753
LKOH;05.07.2021;0;6871.0000000;6871.5000000;6767.0000000;6845.0000000;386882
LKOH;06.07.2021;0;6869.0000000;6939.0000000;6824.0000000;6829.0000000;1542790
LKOH;07.07.2021;0;6830.0000000;6904.5000000;6732.5000000;6782.0000000;934282
LKOH;08.07.2021;0;6738.0000000;6750.0000000;6597.0000000;6684.0000000;1029273
LKOH;09.07.2021;0;6674.0000000;6717.0000000;6618.0000000;6655.0000000;844030
LKOH;12.07.2021;0;6646.0000000;6650.0000000;6573.0000000;6611.0000000;539778
LKOH;13.07.2021;0;6625.0000000;6646.0000000;6580.0000000;6637.0000000;650013
LKOH;14.07.2021;0;6631.0000000;6750.0000000;6562.0000000;6566.0000000;1139559
LKOH;15.07.2021;0;6550.0000000;6552.0000000;6403.0000000;6430.5000000;973634
LKOH;16.07.2021;0;6397.5000000;6479.5000000;6327.5000000;6362.0000000;781647
LKOH;19.07.2021;0;6304.0000000;6339.0000000;6213.5000000;6228.0000000;926660
LKOH;20.07.2021;0;6271.0000000;6330.0000000;6205.0000000;6307.5000000;1049649
LKOH;21.07.2021;0;6291.0000000;6408.5000000;6265.5000000;6393.0000000;907800
