<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SIBN;03.01.2022;0;546.1500000;551.5000000;530.3000000;536.5000000;1483900
SIBN;04.01.2022;0;538.4500000;545.0500000;533.4500000;545.0500000;1129040
SIBN;05.01.2022;0;542.9000000;545.6500000;538.7500000;540.5000000;520550
SIBN;06.01.2022;0;540.9500000;542.3000000;534.0000000;537.9000000;696760
SIBN;10.01.2022;0;540.9500000;546.1500000;532.5500000;534.5000000;1143560
SIBN;11.01.2022;0;536.7000000;540.9000000;533.1000000;537.0500000;615110
SIBN;12.01.2022;0;537.9500000;545.2500000;530.9500000;540.3500000;1120780
SIBN;13.01.2022;0;540.0500000;544.9000000;535.0000000;535.3000000;1037790
SIBN;14.01.2022;0;536.9000000;540.9500000;516.0000000;526.2500000;1690290
SIBN;17.01.2022;0;529.4500000;535.9000000;520.0000000;522.7000000;1843850
SIBN;18.01.2022;0;521.9500000;523.3500000;493.0000000;503.0000000;2103830
SIBN;19.01.2022;0;499.7500000;518.7000000;479.8000000;499.9500000;2330150
SIBN;20.01.2022;0;517.4500000;523.9500000;503.0500000;510.0000000;1303090
SIBN;21.01.2022;0;506.9000000;512.6000000;494.0000000;501.6000000;1392800
SIBN;24.01.2022;0;503.0000000;503.0500000;466.1000000;477.6000000;2318050
SIBN;25.01.2022;0;494.9500000;494.9500000;476.0500000;480.1500000;1523160
SIBN;26.01.2022;0;485.4500000;498.7500000;481.3500000;487.7000000;1108700
SIBN;27.01.2022;0;487.0500000;519.4000000;482.9000000;506.9000000;2617560
SIBN;28.01.2022;0;512.9000000;517.0500000;502.5000000;505.8000000;1046440
SIBN;31.01.2022;0;510.8500000;514.2000000;500.0500000;500.2500000;688060
SIBN;01.02.2022;0;501.0000000;513.6000000;496.3500000;510.8000000;1125160
SIBN;02.02.2022;0;510.7500000;515.3500000;498.2000000;512.0500000;1369080
SIBN;03.02.2022;0;505.8000000;510.2500000;495.5500000;502.0000000;999930
SIBN;04.02.2022;0;505.0000000;513.7500000;498.5000000;500.5000000;1594180
SIBN;07.02.2022;0;506.3000000;510.0000000;497.0000000;507.6500000;937160
SIBN;08.02.2022;0;507.5000000;515.6000000;503.5500000;515.6000000;1209980
SIBN;09.02.2022;0;519.2000000;523.3000000;517.1500000;520.9000000;754640
SIBN;10.02.2022;0;520.9000000;534.7000000;517.0000000;532.3000000;1177740
SIBN;11.02.2022;0;528.1000000;532.2500000;520.7000000;531.3000000;1163760
SIBN;14.02.2022;0;521.0500000;528.9000000;500.5000000;504.8500000;3170270
SIBN;15.02.2022;0;512.0000000;527.7000000;509.2000000;521.1500000;2021410
SIBN;16.02.2022;0;526.9500000;530.4000000;518.1000000;525.1500000;1000750
SIBN;17.02.2022;0;524.0500000;524.0500000;507.5500000;511.0000000;1276680
SIBN;18.02.2022;0;514.9500000;518.1500000;488.5500000;505.3500000;1265970
SIBN;21.02.2022;0;510.9500000;515.9500000;450.0500000;453.1500000;3989960
SIBN;22.02.2022;0;436.9000000;508.0000000;409.0500000;477.4000000;3529090
SIBN;24.02.2022;0;432.1000000;432.1000000;308.8000000;350.0000000;1966590
SIBN;25.02.2022;0;378.0000000;467.6500000;377.5000000;400.4500000;909405
SIBN;28.03.2022;0;440.5000000;473.9500000;362.0000000;389.0000000;825767
SIBN;29.03.2022;0;389.2500000;409.9000000;369.0000000;398.0000000;351277
SIBN;30.03.2022;0;399.9500000;427.0000000;398.0000000;422.0000000;332360
SIBN;31.03.2022;0;422.7500000;449.0000000;420.0500000;447.9000000;428272
SIBN;01.04.2022;0;450.7500000;467.9000000;410.0000000;431.7000000;945461
SIBN;04.04.2022;0;439.6500000;441.0000000;412.0000000;434.0000000;455678
SIBN;05.04.2022;0;435.6000000;439.9000000;410.6000000;412.5500000;774782
SIBN;06.04.2022;0;410.6000000;438.9500000;400.0500000;430.0500000;495041
SIBN;07.04.2022;0;428.1500000;439.0000000;420.0000000;430.1000000;418073
SIBN;08.04.2022;0;431.3500000;438.3500000;430.1000000;437.3000000;359873
SIBN;11.04.2022;0;437.0000000;439.8500000;423.0000000;424.0000000;459373
SIBN;12.04.2022;0;425.5500000;429.1500000;410.0000000;428.1000000;380967
SIBN;13.04.2022;0;429.4500000;434.4500000;420.0000000;425.0000000;138562
SIBN;14.04.2022;0;421.5500000;426.9000000;403.1000000;404.5500000;195742
SIBN;15.04.2022;0;405.8000000;423.9500000;400.6000000;423.9500000;266745
SIBN;18.04.2022;0;419.5500000;419.9500000;403.1000000;403.1000000;261034
SIBN;19.04.2022;0;403.6500000;407.7000000;375.0000000;384.8000000;1408125
SIBN;20.04.2022;0;387.8500000;402.8000000;371.6000000;401.7500000;520888
SIBN;21.04.2022;0;400.0500000;402.8500000;382.0500000;384.7000000;205772
SIBN;22.04.2022;0;384.0000000;398.0000000;380.0000000;388.6500000;195423
SIBN;25.04.2022;0;391.0000000;393.9000000;376.0500000;379.4500000;150258
SIBN;26.04.2022;0;381.9500000;399.6000000;379.9000000;399.6000000;255657
SIBN;27.04.2022;0;399.6000000;410.0000000;392.0500000;402.5000000;216591
SIBN;28.04.2022;0;405.0000000;414.6000000;403.1500000;408.8000000;301563
